Gender,Age,Weight,Height,Leg_Length,Arm_Length,Arm_Circum,Waist
1,254,60.2,177,45.2,39.8,31.2,69.5
0,255,53.6,152,35.1,33.5,27,79.5
0,255,45.4,160,36.7,34,22.2,66.6
0,255,89.2,167,37.2,37,34.6,108.5
0,255,54.5,167,39,37.3,24.4,73.5
0,255,41.9,160,39.3,33.5,21.2,69.5
0,255,56.8,167,40.6,35.2,25,71
0,255,60.2,175,42.1,35.2,24.7,77
1,255,76,189,46,41.7,31.3,77.4
1,255,148.8,184,49.5,43,42.5,132
0,256,77.7,158,32.2,37.5,35,99.9
0,256,46.8,162,37.1,34,24.1,67
0,256,80.9,161,38.4,34.8,31.9,106
1,256,76.8,167,39,37,33.5,89.4
0,256,76.4,170,40.8,38,29.9,89.4
1,256,67,173,44.4,39,31.3,81.2
1,256,82.8,181,45.4,40.5,32.5,95.7
1,256,127.3,177,45.6,41.2,43.7,120.3
1,256,114,184,48,42,38.5,118.5
0,257,113.9,172,36.8,39.5,41.5,123.8
0,257,58.8,170,38.5,35.5,26.5,77.9
1,257,56.3,171,41.3,38.6,25.2,75.2
1,257,121.1,185,46.6,43.5,38.9,115.4
0,257,79.9,172,47.7,37.4,33.4,92.6
0,258,79,161,38.5,37.3,33,98
1,258,95.9,177,39,39.5,36.4,110.5
1,258,91,168,40.9,38.7,37.5,105
1,258,53.8,173,43,34.5,25.7,69.8
1,258,67.9,179,47,38.6,29.9,77.3
0,259,76.5,171,38.5,37.4,32,92.5
0,260,43.5,153,33,32,22.6,72.5
0,260,50,155,35.3,31,26.2,68.6
0,260,66.8,158,35.6,35.5,32.8,89.7
0,260,41.7,153,37.2,34.6,22.6,61.6
0,260,68.1,163,37.5,35.9,28.5,96.9
1,260,163.5,168,42,41,47.8,147.5
1,260,86.7,174,42.6,38.6,37.5,90.5
0,260,112.2,166,43.7,39.2,43,120.2
1,260,93.4,181,44.6,40.5,33.8,96.6
0,260,74.6,176,45.9,37.4,29,84.6
1,260,122.9,193,47,40.5,37.9,111.1
0,261,53.6,168,36.6,35.7,23.2,80.2
0,261,74.8,162,39,35.5,34,99.2
1,261,84.2,171,39.3,37.3,34,94.5
0,261,105.3,168,40.9,40.6,42.8,121
1,261,73.9,169,41.1,37.8,32.7,85.1
1,261,71.5,182,42.9,38,31.8,81.4
1,261,73.2,174,43.1,37.7,31.5,84
1,261,92.3,178,43.8,38,35.7,98
1,261,62.4,180,44.1,36.5,27.2,70.2
0,262,61.2,159,35.1,31.7,30,73.8
0,262,80.4,162,38.2,37.3,34,90.8
1,262,74.7,169,39.8,39,31.6,94.2
0,262,85.4,162,40.5,39,35,108
0,262,65.7,171,40.9,37,30.4,84.1
1,262,73.5,164,41.1,38,32.2,93.2
1,262,88.8,188,43,42,33.8,93
1,263,48,152,35,32.5,27,74.4
0,263,56.8,169,35.5,35.5,26.3,83.8
1,263,62.7,162,36.6,36.3,29.9,85.8
0,263,74,158,36.6,37,31.8,86.8
0,263,53.4,168,38.4,35.6,24.1,70.9
1,263,70.8,176,41.2,39.5,28.4,77.9
1,263,67.5,172,41.3,36,31,71.5
1,263,59.9,180,41.5,38.2,26.8,76.6
1,263,84,174,43.7,38.3,33.5,89.6
0,263,65.5,178,44.2,37.8,25.8,79.8
0,264,70,171,39.4,38,30.7,83.9
0,264,101.9,171,40.5,38,37.2,120.5
1,264,82.9,174,42.1,37,30.6,96.8
0,264,112.1,171,42.3,39.3,41.2,119
1,264,96.6,175,44,40.2,35.8,107.6
0,265,96.5,157,37.1,34.5,39.4,121.1
1,265,66.1,166,37.8,37.5,33.9,85.5
0,265,66.5,158,38.2,35,30.5,90.6
1,265,57.6,158,38.3,35.7,28.8,79.4
0,265,72.2,170,42,36.3,27.5,91.4
1,265,101,179,43.4,39,38.5,100.4
1,265,81.4,193,44.7,43.5,32.8,83.1
1,265,111.7,183,44.8,41.1,39.4,112.8
0,266,52,142,35,32.5,27.4,80
1,266,51.2,159,38,36.3,26.7,78.3
0,266,123.8,166,38,38.2,43.7,136
1,266,65.5,172,38.2,37.1,30.7,82.9
1,266,66.1,168,39.8,37,31.7,77.5
0,266,72.7,154,40,36.6,32.3,89.4
1,266,88,182,43.4,40,33.4,91.1
1,266,66.7,187,46,39.9,25.6,85.5
1,266,72.3,182,46.8,40,28.7,76.7
0,267,43.8,153,35.2,31.2,22.6,70
0,267,63,155,37,33.2,29.2,89.6
0,267,52,155,38.2,32.7,25.5,80.7
1,267,63.5,165,38.3,35.8,29.6,80.2
0,267,65.3,154,38.4,35,27.1,95
0,267,81,161,38.6,33.6,33.5,90.4
1,267,71,169,39.5,35,28.5,78.8
0,267,86.8,162,39.5,37.5,34.7,104.7
1,267,65,176,40.2,40,30,73.1
0,267,71.8,178,44.6,37,27.3,86.5
0,268,80.5,145,29.6,31.9,33.7,115.4
0,268,53.2,163,38.3,34.3,24.5,74.5
1,268,78.1,159,38.6,35.6,31.5,98.8
1,268,63.1,166,40,39.5,31.5,76
1,268,107.8,183,42.9,39,39,107.8
0,269,60.1,150,36.1,34.8,29.3,88.8
0,269,56.5,164,36.8,35.9,25.5,72.5
1,269,111,170,37.1,37,38.6,113.1
0,269,121.5,167,37.1,37.4,45.2,130.6
0,269,60.3,164,37.8,34.8,26.5,77.1
0,269,59.5,166,38.2,34.5,26.4,75.7
1,269,64.3,164,38.3,36.6,28.8,79
0,269,56.9,171,39.8,35.3,25.1,75
0,269,89.9,177,42,39.7,34.5,96.9
1,269,69.2,172,42.6,39.5,30.5,78.7
1,269,65.3,173,43.4,39,29,72.4
0,269,94.7,170,44.2,39.6,37.8,95.6
1,269,77.8,169,46.5,38.5,33.4,90.4
0,270,90.9,163,37.2,38.3,34,112.7
0,270,66.2,168,40,37,29.4,82.9
1,270,73.2,179,40.7,41,31.3,78
1,270,93.6,175,41.4,37.5,34,98.2
1,270,98.3,176,42.1,40,34.8,107
1,270,106.4,182,43.1,41.3,37.8,108.5
0,271,92,172,34.9,38,37,115.4
0,271,77.7,167,36.2,36.5,32,93.5
0,271,75,170,38.5,38,31,92.9
0,271,68.8,167,39.5,35.4,26.2,100.1
0,271,90.1,164,39.6,34,34.7,100.6
0,271,58.3,174,40.8,38,24.5,80.7
1,271,62.6,172,43.4,38,28.2,74.5
0,272,96.6,164,39.7,37.4,41.2,107
1,272,47.8,167,39.8,35.8,22.4,64.4
0,272,81.5,166,41,38,31.3,100.3
1,272,95.7,183,41,39.6,36,106.6
1,272,78.6,178,45.5,41.3,31.6,88.1
0,273,59.1,156,34.8,32.4,28.9,73.5
1,273,60,163,37.5,35.4,26.6,79.6
0,273,111.8,166,38.8,39.1,36.5,105.5
0,273,74.7,163,42.3,37.1,32.7,85.5
0,274,109.9,170,32.3,38.6,42.2,119.6
0,274,63.1,151,34.1,33.7,30.5,95.8
0,274,55.7,162,36.9,34.2,28.5,75.5
0,274,64.4,157,37.2,36.5,29.6,93.3
0,274,69.8,163,40.4,37.3,29.5,95.2
1,274,79.1,185,46.5,40.4,30.5,96.8
1,275,90.4,169,39.8,38.3,34.5,103.3
0,275,61.4,167,40.4,38,29,75.9
1,275,77.5,175,41,36.5,35.7,90.4
0,275,59.3,167,41.6,36.4,25.9,70.1
1,275,101.7,175,43,39,37.2,104.5
1,275,88.3,174,45,36.5,35.5,103
0,276,52.1,158,34.2,32.6,26.6,75
0,276,71.1,163,37.4,36,29.4,83
1,276,64.9,178,39,38,26.9,78.2
1,276,59.7,176,40,38.5,27.1,68
1,276,77.5,169,40.2,36,34.5,85.9
0,276,55.1,168,40.4,36.5,25.5,73
1,276,78.3,185,42.6,41.4,33,87
1,276,91.9,183,42.8,39.5,31.3,99.2
1,276,89.6,187,43.5,41.2,32.7,96.7
0,277,55.4,152,34.6,30,28.2,77.4
0,277,78.1,156,36.5,33.3,32,108.2
0,277,93.2,149,37.6,34.7,41.2,112.5
0,277,49.9,164,37.7,33.7,24.1,73.6
1,278,59.8,163,37.2,35.6,30,72.7
0,278,58.2,161,37.3,34.6,27,84.6
0,278,144.5,174,38,37,45,138.6
1,278,68,171,41.3,38,33.2,81.2
1,278,73.4,179,41.4,37.3,29.1,85.1
0,279,55.3,157,33.1,34.2,26.6,80.3
0,279,51.1,170,37.8,35,23.4,68.2
0,279,70.5,165,38.9,36.2,29.2,85.7
1,279,82.6,179,41.5,38.2,31.1,86.1
0,280,62.7,164,37.4,36,29.9,82
0,280,63.4,159,37.5,34.7,27.5,85.9
0,280,126.4,170,38,38.2,42.1,124.6
1,280,83.1,177,38.5,40.9,34.9,86.8
0,280,84.9,164,38.5,34.5,35.8,101.5
1,280,66.4,172,39.5,38.6,32,73
0,280,86.8,167,40.6,35.6,33.5,101.3
1,280,81.6,172,40.9,36.5,32,99.3
1,280,94.2,179,43.5,40.6,36.5,95.6
1,280,90.6,178,45,42.5,36.8,93.6
0,281,123.7,163,35.5,39.5,42.2,117.8
0,281,71.7,152,36.3,35,34.4,88.4
0,281,54.1,158,38.2,33.3,26.6,79.8
1,281,79.6,177,38.4,38.1,35.5,83.2
0,281,64.4,157,38.5,35.2,25.7,90.5
0,281,97.1,162,41.5,36.6,36.2,124.7
1,281,60.7,172,43,37,28,80.8
1,281,113.8,177,46.9,40.5,41.9,107.9
0,282,32.4,141,29.1,31,19.5,62.2
0,282,61.1,169,40.7,35.3,25.8,70.4
1,282,65.7,172,41.4,38,30.5,74.2
1,282,100.6,180,41.5,42.4,36.1,105.2
1,282,71.7,171,42.1,39.5,31.6,86.4
1,282,89.5,182,44,42,35.5,94.9
1,283,63.6,158,35.2,34.1,31.1,86.2
0,283,51.1,154,36.5,32,24.4,71
1,283,65.9,173,41.7,36.2,30.6,78.9
0,283,81.2,165,42,39.5,32.8,102.5
0,283,107,168,42.6,38,36.5,111.4
1,283,113.9,182,46.2,39.7,40.7,105.8
1,283,87.8,186,46.6,41.9,36.2,90.2
0,284,49.6,152,33.7,34,26.4,77.6
1,284,70.5,173,40.3,40.6,31.2,91.1
1,284,99.4,178,41.5,40.6,38.7,105
0,284,70,179,44.9,40,30.7,77.5
1,284,80.3,178,45.3,39.4,32,96.1
0,285,49.9,155,34.8,31.9,24.6,66.6
0,285,51.6,159,37.5,33.4,26.8,73.6
0,285,59.8,165,37.9,33.6,25.8,80.7
0,285,59,158,38,34.5,26.4,79.4
1,285,60,171,38.5,39.6,27.2,83.1
1,285,82.3,178,39.7,38.2,32.9,93.1
1,285,104,169,41.8,38.1,40.1,118.1
0,285,87.3,172,46,40,30.6,101.2
0,286,105.6,166,33,35.5,36.4,121.9
0,286,87.2,158,35.4,34,35.3,111
0,286,58.5,157,37.4,34,27.8,86.8
0,286,58.9,153,39,34.9,27.9,85
0,286,69.4,166,39.4,37.4,32.7,81.1
1,286,103.7,172,40.3,40,37.8,107
1,286,73.2,180,42.6,38.2,28.3,83.3
1,286,92.2,168,43.1,40,40.6,99.2
1,286,69.1,181,46.1,40.7,28.5,76.6
0,287,64,154,35,33.5,29.2,90
0,287,62.8,157,36.6,35,28.1,84
0,287,90.5,168,37.3,37.5,39,111.7
0,287,88.2,161,38.2,34.6,38.2,105.6
0,287,79.9,159,40.2,34.3,30.5,90.8
1,287,95.6,180,40.3,39,35.3,100.6
1,287,98.4,178,42.5,40,35.1,104.2
0,288,48.3,152,33.5,32.4,25.9,72.9
0,288,68.7,168,40,36,27.7,82.7
0,288,70.2,173,40.4,35.5,29.9,88.7
0,288,52.5,160,40.5,35.2,24.4,78.3
0,288,68.9,174,41,40,29.2,80.5
1,288,74.7,173,41.1,37.4,33.6,87.2
1,288,94.3,177,41.6,37.7,40.1,96.4
1,288,112.8,170,41.7,37.3,42,121.1
0,288,102.8,168,45.4,37.3,39.3,109.7
1,288,95.9,177,46,38.2,38.2,97.5
0,289,68.5,162,37.4,37,26.9,97.9
0,289,70.4,165,39.3,38.1,30.3,83.5
0,289,94.8,159,39.3,35.4,34.6,119.8
1,289,82.4,175,40.4,38.6,32.7,87.8
0,289,82.8,170,40.6,40,36.7,85.7
1,289,69,171,41.4,39,30.4,79.6
1,289,82,174,43,35.8,33.9,90.9
0,289,116.8,171,45.9,41,39.1,123.1
1,289,149.3,183,47.8,43.5,44.2,139.7
0,290,60.1,154,34.6,33.5,30.2,81
0,290,88,167,37,38,35.3,109.3
1,290,73.7,168,38.5,35.5,33.4,92.7
1,290,74.4,165,39.6,39,30.8,96.8
0,290,83.5,163,39.7,37.7,33.6,103.6
1,290,132.8,175,40.2,41.5,39.6,131.1
1,290,77.5,179,41.1,40.5,32.2,81.2
1,290,80.1,182,43,41.5,33.6,90.5
1,290,85.4,183,43.9,41.8,30.5,94.2
0,291,85.7,155,33,30.5,37.5,104.8
0,291,103.2,168,35.1,38.3,40.5,121
1,291,69.2,172,39.8,37.5,29.4,84.2
1,291,104.2,163,41.2,37,40.1,109.1
1,291,58.2,176,45,39.2,26.5,73.8
0,292,67.7,161,36.2,32,30.7,83.6
0,292,72.5,159,39.8,33.4,34,90.6
1,292,94.4,176,42.2,40.2,38.3,94.9
1,292,82.2,179,42.7,38.9,33,85.2
0,293,62,163,36.8,35,30.2,80.2
1,293,125.2,174,40,38.4,42.3,116.8
0,293,58.2,166,40.3,34.5,24.3,75.1
1,293,86.3,177,42,39.7,31.5,97.8
1,293,70.1,174,43,37,30.5,81
1,293,58.6,176,43.3,37.3,29,76.9
0,294,61.9,155,32.5,32.5,29.6,85.8
1,294,57.1,152,34.3,33.5,29.2,82.3
1,294,66.6,159,38,36,32.7,88.2
1,294,81.7,169,40.6,38.1,36.4,95.3
1,294,62.6,176,43.4,37,27.6,73.6
0,295,71.4,156,31.8,35.2,33.9,96.7
0,295,78.9,150,31.9,31,34.2,108.2
0,295,78.1,166,37,34.8,33.9,88.2
0,295,78,160,37.2,38.2,35.6,105
0,295,99.1,169,37.5,34.5,41.3,113.3
0,295,67.2,162,38,38.3,30.6,97.6
0,295,71.3,165,38.4,34.2,28.6,87.1
0,295,83.1,163,39.1,38.2,34.1,102.3
1,295,85,173,42.5,40.2,36.9,94.7
1,295,75.8,182,43.5,40.5,32.1,83.3
0,296,79.3,156,36.4,35.2,31.2,92.4
0,296,68.2,162,42.6,38.5,31,85
1,296,61.4,174,43,38.1,27.5,81.7
1,296,80.8,178,44,37.7,31.8,90
1,296,76.8,184,44,42,33.1,81.7
1,296,102.1,173,45,39.2,38.6,108
0,297,73.1,151,34.7,33,34.7,103.3
0,297,59.2,157,37,33.9,28.2,77
0,297,59.7,166,37.6,34.4,27.2,80.1
0,297,55.6,151,38.1,32.4,29.8,74.4
0,297,68.9,164,38.5,35.9,27.5,94.5
1,297,65,169,40.8,38.7,30.3,77.3
0,297,86.8,161,42.5,35.5,32,105.5
1,297,75.4,179,44,40.6,33.9,81.4
1,297,76.8,183,45,40.4,32.6,84.1
1,298,76.2,170,37.7,39,32.5,89.3
1,298,69.6,162,38,35,32.5,90.3
0,298,86.1,165,39.1,38,37.2,95.5
1,298,61.1,174,41.7,38.6,27.4,77.4
1,298,84.1,171,43.5,38,35.6,100.5
1,298,131.5,188,44.8,43.2,44.7,124.5
0,299,61.8,150,33.4,35.2,29.6,89.7
0,299,79,156,35,32,33,92.9
0,299,58.8,156,35.2,32.5,30,83.9
0,299,67.4,164,37,35.5,26.5,87.4
0,299,58.8,167,37.3,35.2,27.2,75.9
0,299,56.9,169,38.2,33,24.6,83.2
0,299,69.1,163,39,35,28.8,92
0,299,145.1,160,39,37,45.6,145.5
0,299,56.5,164,39.5,35,27.7,83.1
1,299,68.3,178,41.1,38,29.3,79
1,299,74.3,168,41.2,36.4,33.6,92.2
0,299,82.2,164,41.6,36.6,34.6,107
1,299,86.9,185,42.5,40.5,34.3,95.8
0,300,99.6,163,33.6,35.2,37.3,114.6
0,300,98.8,166,37.7,38,35.6,115.2
1,300,60.7,168,39.3,36,28.2,77.2
0,300,65.5,159,40.4,35.5,29.4,85
1,300,106.7,180,41,40.8,38.5,112
1,300,116.3,180,43,42,42.2,109.5
0,301,133.3,171,35.7,40,42,125.8
0,301,65.8,176,38.7,36.5,27.7,77.7
1,301,110.1,178,38.7,36.3,37,120
1,301,65.1,177,40.1,40,27.8,82.7
0,302,97.2,164,31.5,38.8,38.9,121.7
0,302,84.1,170,37.3,37.9,31.5,106.1
0,302,58.3,168,39.2,38,24.4,78.7
0,302,57.6,170,39.9,36.4,25.7,71
1,302,53.8,171,40,36.8,26.7,71.1
1,302,93.6,174,41.9,37.3,32.5,107.9
1,302,73.3,178,44.5,37.9,32.8,90.8
0,303,52.3,161,35.7,34.2,25.7,67.1
0,303,63.8,163,39.2,37.5,29,81.2
0,303,101.6,161,39.2,38.2,40.6,105
1,303,90.9,167,40.2,38,35,108.5
1,303,84.9,188,48,40.4,33.3,87.5
0,304,54.3,152,35.3,34.5,27,87.1
0,304,101.3,163,36.2,36.5,38.4,111
1,304,85.6,169,37.5,36.9,31.3,104.8
0,304,60,165,39,35,26,75.5
1,304,75.5,174,40.2,36.1,33.4,89.7
0,304,68,177,46.1,38.6,29.8,83.8
1,304,82.5,184,46.5,38.7,33.9,90.8
1,304,103.7,187,48.2,42.6,40.3,95.4
0,305,51.2,158,34,32.5,24.5,80.2
0,305,90.3,156,37.4,35,31.6,116.4
1,305,71.2,162,37.6,35.1,33.2,89.4
1,305,69.9,175,40.4,37.5,35,75
0,305,83.8,164,40.9,35,32.9,105.5
0,305,77.7,166,42.2,36,31.4,103.6
0,306,52.2,146,33,32.6,29,72
0,306,61.6,152,36.3,32.5,28.7,76.2
0,306,82.9,162,37,37,32.9,100.2
1,306,73.8,162,38,35,35.7,93.7
0,306,58.1,169,39.2,35,25.2,73.7
0,306,65.2,157,40,36.2,32.7,81.1
1,306,76.2,179,42.6,39.7,31.7,91.5
1,306,74.2,190,43.3,41.8,27,86.1
1,306,76.1,183,43.6,42.4,31.3,79.8
0,307,70.8,150,34.4,32.5,35.2,90.3
1,307,94.9,162,38.6,37,36.7,105.7
0,307,74.8,177,41.5,38.9,32,98.9
0,307,92.8,169,41.5,39.7,36.7,104.5
1,307,77.1,184,41.9,37.9,30.4,82.2
1,307,75.3,190,42.3,40.5,26.2,79.5
0,307,70.1,175,43.3,38.8,27.8,76
0,308,110.7,157,39.5,35.6,41.7,129.6
0,308,140.3,162,39.6,37.3,48.5,145.6
1,308,67,169,40,38.5,30.8,79.1
1,308,78.4,175,40.4,39.4,33.3,76.7
1,308,151.6,177,40.5,38,48.5,144.9
1,308,92.5,175,42.4,41,38.5,97.4
1,308,87.9,182,46,40,34.6,92.4
0,309,56.6,159,37.6,33,26.5,76.5
0,309,80.4,169,39.7,35,34.7,99.5
0,309,69.1,162,40.5,36,31.2,81.8
0,310,121.4,165,37.6,39.7,42.6,133.4
1,310,57.1,172,40.9,35.9,28.5,69.9
1,310,64.3,178,41.4,38.4,28,73.3
1,310,79.4,178,44.1,39.4,35.7,86.1
1,310,90.7,191,46,38.9,32.9,93
1,310,148.1,181,48.2,40,50.3,130.4
0,311,100.6,166,34,36,39.9,107
0,311,61.3,156,36.6,36.5,28.1,85.1
0,311,102.8,169,38.2,37.5,42.4,112.6
1,311,69.2,166,39.5,35.8,28.9,86.8
1,312,69.6,177,40.6,39,29.5,82
0,312,72.1,175,42.4,39.2,29,88.3
0,313,76.5,163,35.5,34.6,32.7,95.9
0,313,67.9,168,38.1,35.2,29.1,77.5
0,313,62.2,166,38.4,34,28.2,76.2
0,313,75.9,163,38.7,36,31.7,91.8
1,313,126.3,176,38.8,41.7,40.2,134.7
0,313,66.8,165,40.3,34.4,29.2,80.4
1,313,74.5,180,48,40.9,29.7,84.2
0,314,62.2,156,38.3,35.2,28.3,85.4
1,314,61.1,164,38.5,36.5,27.9,83.6
0,314,62,175,39.2,37.1,28,79.6
1,314,69.9,163,39.2,35.5,32,89
1,314,54.2,174,39.5,37,26.1,72.3
0,315,69.8,157,36.4,34,31.9,86.9
0,315,51.6,165,37.7,35,25.1,67.8
0,315,67.6,168,41.9,36.3,31,82.4
1,315,88,182,43.9,38,34.6,87.6
1,315,78.4,191,46,44,30.1,71.8
1,316,53.2,164,36.5,34.5,27,70.9
0,316,85.5,158,36.8,35.2,39.5,105
1,316,79.6,176,39,37.5,34.6,88
0,316,75,167,44.1,37.6,31.7,85.4
0,317,120.1,162,33.2,36.5,42.8,121.4
0,317,59.8,167,40.2,38,28.6,73.4
1,317,63.7,166,40.5,34.2,29.3,78.4
1,317,78.6,175,45,39.5,35.1,99.3
0,318,54,152,34.7,35,28.6,85.2
0,318,79.3,151,35,35.7,37.2,92.8
0,318,52.2,157,36.3,33.3,25.9,75.5
0,318,102.2,167,36.8,38.5,37.5,113.2
0,318,94.2,158,38.5,37,37.3,119
0,319,87.7,153,35.6,36,39,105.4
1,319,68.4,160,36.4,38.2,30.5,84.7
0,319,128.6,163,36.5,36.6,40.7,142.3
1,319,77.2,166,37.2,38,31,95.5
0,319,65.8,162,38.1,36,28.3,92.5
1,319,67.4,164,39.5,33.8,30.7,87.9
1,319,69.6,174,40.5,37.5,30.1,85.5
0,319,139.2,171,40.5,38,47.3,142.2
0,319,117.4,168,41.5,40.5,46,118.7
0,320,105.1,164,35.7,34.5,41.1,115.1
1,320,67.3,166,37.3,36.4,30.4,85.2
1,320,68.3,168,37.5,36,29.4,83.3
1,320,92.9,169,37.6,40.4,39,102.9
1,320,71.2,171,41.5,37.5,31.5,85.1
1,320,84.9,186,42.5,38.8,34.2,94.3
1,320,84.7,186,43.8,39.5,30.8,93
1,320,70.9,184,46,39.6,29.9,78
0,321,113.9,159,33.3,37,43.6,125.1
0,321,80.6,158,34,35,35,106
1,321,86.5,168,38.2,36.8,34,101.3
0,321,55.2,162,38.7,35.2,25.6,74.5
0,321,56.5,178,39.7,37.8,23,68.6
0,321,66.5,169,40,35.4,27.1,84.6
1,321,80.4,173,40.5,37.5,33.1,94
1,321,90.4,185,43,39.2,35.4,109.7
0,322,54.2,145,34.9,35,28.3,83.4
0,322,60.2,162,36.5,36,29.3,79.8
1,322,63.7,171,37.9,36.4,28.9,74.1
1,322,101.3,170,38,42,41.1,111.5
0,322,79.2,166,38.1,36.3,33.2,98.1
1,322,51.5,173,40,37,24.2,74.3
1,322,72.3,175,41,36.8,31.2,94.4
0,322,91.5,178,41.5,39,34.8,96.8
1,322,74.4,177,42,41,29.2,83.5
1,322,92.3,169,43.7,38.9,39.2,93.6
0,323,98.6,161,35.6,37.4,38.2,107.9
0,323,132.4,172,36,37.6,46.6,131.4
1,323,65.4,164,37.6,35.7,33.1,76.5
0,323,54.6,160,37.9,35.4,25.7,79
1,323,64.9,173,38.2,37.2,29.2,84.6
0,323,81.5,170,40.7,37,32.1,106.2
1,323,77.4,178,41.5,40.5,31.2,89.4
0,324,58.1,150,34.4,33,31.1,84
1,324,57.7,164,37,34,26.2,75.7
1,324,70,176,38.9,37.5,30.6,80.4
1,324,97.3,165,39.8,40.3,35.4,114.3
1,324,72.9,177,41.6,40,31.1,80.5
1,324,96.5,180,42.5,40.3,35.5,103.8
1,324,88.1,178,43.5,41.2,37.4,87.6
1,324,102.8,184,45,40.5,34.6,112.1
0,325,56.2,152,35.2,33.4,28.2,77.1
0,325,110.5,166,37,36,39.3,115
0,325,80.4,173,38.5,35.7,32.1,101.3
